date,code,name,open,close,high,low,volume
2022-01-11,399001,深证成指,14402.22,14223.35,14433.56,14201.9,614437724160.0
2022-01-12,399001,深证成指,14316.53,14421.2,14426.12,14293.41,625336422400.0
2022-01-13,399001,深证成指,14440.98,14138.34,14440.98,14138.34,636529733632.0
2022-01-14,399001,深证成指,14054.67,14150.57,14219.44,14039.87,643758907392.0
2022-01-17,399001,深证成指,14163.0,14363.57,14374.47,14159.27,681429704704.0
2022-01-18,399001,深证成指,14365.19,14391.39,14444.54,14285.63,725086777344.0
2022-01-19,399001,深证成指,14376.36,14207.19,14413.38,14120.24,644543877120.0
2022-01-20,399001,深证成指,14188.51,14198.3,14312.0,14149.5,669283758080.0
2022-01-21,399001,深证成指,14144.22,14029.55,14181.62,13991.64,566667206656.0
2022-01-24,399001,深证成指,13941.9,14081.8,14133.04,13918.99,506151383040.0
2022-01-25,399001,深证成指,14018.93,13683.89,14091.88,13682.72,553134100480.0
2022-01-26,399001,深证成指,13742.03,13780.3,13820.94,13580.4,455865831424.0
2022-01-27,399001,深证成指,13756.87,13398.84,13773.5,13395.36,476438478848.0
2022-01-28,399001,深证成指,13515.47,13328.06,13553.22,13227.83,465106776064.0
2022-02-07,399001,深证成指,13558.94,13456.65,13632.45,13412.2,465994018816.0
2022-02-08,399001,深证成指,13432.08,13325.41,13432.33,13051.8,490826039296.0
2022-02-09,399001,深证成指,13321.81,13531.31,13541.87,13283.2,538058903552.0
2022-02-10,399001,深证成指,13537.31,13432.07,13537.31,13339.5,531355975680.0
2022-02-11,399001,深证成指,13360.4,13224.38,13452.72,13206.63,565245644800.0
2022-02-14,399001,深证成指,13140.35,13123.21,13280.08,13049.45,500778934272.0
2022-02-15,399001,深证成指,13143.1,13345.63,13346.67,13138.44,485858664448.0
2022-02-16,399001,深证成指,13403.64,13376.36,13446.06,13339.8,481453457408.0
2022-02-17,399001,深证成指,13360.46,13422.9,13490.86,13322.69,553015967744.0
2022-02-18,399001,深证成指,13334.9,13459.68,13460.21,13316.47,480329814016.0
2022-02-21,399001,深证成指,13464.85,13471.16,13503.09,13404.73,555046539264.0
2022-02-22,399001,深证成指,13384.03,13297.11,13384.03,13216.63,590595878912.0
2022-02-23,399001,深证成指,13319.87,13549.99,13553.27,13319.87,625266221056.0
2022-02-24,399001,深证成指,13459.01,13252.24,13538.71,13093.97,792905224192.0
2022-02-25,399001,深证成指,13383.24,13412.92,13540.99,13383.24,577064525824.0
2022-02-28,399001,深证成指,13397.93,13455.73,13457.61,13279.32,535316713472.0
2022-03-01,399001,深证成指,13493.28,13488.64,13517.25,13393.85,556498526208.0
2022-03-02,399001,深证成指,13412.9,13346.96,13412.9,13267.55,517925859328.0
2022-03-03,399001,深证成指,13397.97,13201.82,13407.04,13187.74,566547161088.0
2022-03-04,399001,深证成指,13089.42,13020.46,13204.24,12972.24,575567257600.0
2022-03-07,399001,深证成指,12930.73,12573.43,12930.73,12523.45,566406131712.0
2022-03-08,399001,深证成指,12594.6,12244.5,12653.46,12178.18,624336265216.0
2022-03-09,399001,深证成指,12282.15,12107.17,12337.77,11598.39,641926905856.0
2022-03-10,399001,深证成指,12421.76,12370.95,12486.91,12331.51,612625620992.0
2022-03-11,399001,深证成指,12181.48,12447.37,12464.5,12043.38,591465320448.0
2022-03-14,399001,深证成指,12315.77,12063.63,12389.41,12063.63,551758540800.0
2022-03-15,399001,深证成指,11948.63,11537.24,12086.04,11537.24,616059879424.0
2022-03-16,399001,深证成指,11765.31,12000.96,12034.46,11331.23,669733224448.0
2022-03-17,399001,深证成指,12228.84,12289.97,12497.86,12218.17,742943662080.0
2022-03-18,399001,深证成指,12222.22,12328.65,12368.59,12141.75,562050113536.0
2022-03-21,399001,深证成指,12385.87,12379.64,12469.98,12257.67,594069217280.0
2022-03-22,399001,深证成指,12350.73,12318.78,12410.47,12269.17,559997431808.0
2022-03-23,399001,深证成指,12373.51,12408.65,12436.21,12291.37,537394683904.0
2022-03-24,399001,深证成指,12339.14,12305.5,12384.78,12188.58,529361678336.0
2022-03-25,399001,深证成指,12315.35,12072.73,12330.95,12072.73,528491847680.0
2022-03-28,399001,深证成指,11969.0,11949.94,12053.2,11835.33,495913897984.0
2022-03-29,399001,深证成指,11983.54,11895.08,12050.85,11857.37,500012941312.0
2022-03-30,399001,深证成指,11969.36,12263.8,12263.8,11961.06,545377038336.0
2022-03-31,399001,深证成指,12208.99,12118.25,12220.06,12090.29,581017358336.0
2022-04-01,399001,深证成指,12040.01,12227.93,12275.08,12009.21,529916747776.0
2022-04-06,399001,深证成指,12220.78,12172.91,12238.02,12091.98,532502401024.0
2022-04-07,399001,深证成指,12101.37,11972.02,12205.1,11971.33,524892594176.0
2022-04-08,399001,深证成指,11988.05,11959.27,12001.59,11799.02,512401293312.0
2022-04-11,399001,深证成指,11876.18,11520.21,11876.18,11482.73,528592076800.0
2022-04-12,399001,深证成指,11523.28,11756.38,11756.38,11439.59,493975777280.0
2022-04-13,399001,深证成指,11669.08,11568.17,11744.25,11568.17,475223617536.0
2022-04-14,399001,深证成指,11662.59,11714.62,11787.12,11587.87,468901679104.0
2022-04-15,399001,深证成指,11626.05,11648.57,11737.79,11552.78,497739427840.0
2022-04-18,399001,深证成指,11557.52,11691.47,11710.84,11459.84,411908669440.0
2022-04-19,399001,深证成指,11691.76,11633.32,11771.55,11584.24,416624205824.0
2022-04-20,399001,深证成指,11619.74,11392.23,11641.45,11360.08,447105695744.0
2022-04-21,399001,深证成指,11328.71,11084.28,11429.78,11038.38,459812618240.0
2022-04-22,399001,深证成指,11016.68,11051.7,11151.66,10896.92,404474712064.0
2022-04-25,399001,深证成指,10840.36,10379.28,10866.64,10379.06,469816864768.0
2022-04-26,399001,深证成指,10401.99,10206.64,10548.96,10181.17,442820890624.0
2022-04-27,399001,深证成指,10090.98,10652.9,10652.93,10087.53,494782865408.0
2022-04-28,399001,深证成指,10607.79,10628.92,10743.17,10498.66,451874238464.0
2022-04-29,399001,深证成指,10719.45,11021.44,11029.94,10631.14,524630982656.0
2022-05-05,399001,深证成指,10928.68,11046.38,11146.02,10897.26,491568406528.0
2022-05-06,399001,深证成指,10775.31,10809.88,10913.69,10748.87,413591621632.0
2022-05-09,399001,深证成指,10743.03,10765.63,10867.61,10698.67,371410505728.0
2022-05-10,399001,深证成指,10601.4,10912.74,10938.58,10560.78,462850342912.0
