date,code,name,open,close,high,low,volume
2021-12-29,837403,康农种业,10.0,10.0,10.0,10.0,2840.0
2021-12-31,837403,康农种业,13.38,13.38,13.38,13.38,1859.0
2022-01-17,837403,康农种业,10.33,10.33,10.33,10.33,37599.0
2022-01-20,837403,康农种业,10.62,10.62,10.62,10.62,1485.0
2022-01-24,837403,康农种业,10.75,10.75,10.75,10.75,39442.0
2022-02-15,837403,康农种业,10.75,10.75,10.75,10.75,15180.0
2022-02-17,837403,康农种业,10.36,10.28,10.36,10.28,179675.0
2022-02-21,837403,康农种业,10.54,10.54,10.54,10.54,1490.0
2022-02-23,837403,康农种业,9.08,9.08,9.08,9.08,13000.0
2022-03-23,837403,康农种业,12.91,12.91,12.91,12.91,1798.0
2022-04-12,837403,康农种业,10.62,10.62,10.62,10.62,4500.0
2022-04-13,837403,康农种业,10.61,10.61,10.61,10.61,1499.0
2022-05-20,837403,康农种业,10.52,10.52,10.52,10.52,7440.0
2022-05-23,837403,康农种业,10.63,10.63,10.63,10.63,4055.0
2022-05-24,837403,康农种业,12.15,10.66,12.15,10.65,188615.0
2022-05-25,837403,康农种业,8.92,10.78,10.78,8.92,8659.0
2022-05-27,837403,康农种业,12.06,12.06,12.06,12.06,1688.0
2022-05-31,837403,康农种业,12.06,12.06,12.06,12.06,44220.0
2022-06-01,837403,康农种业,12.06,12.06,12.06,12.06,44493.0
2022-06-02,837403,康农种业,12.68,12.75,12.75,12.68,10168.0
2022-06-08,837403,康农种业,12.68,12.06,12.68,11.45,25357.0
2022-06-09,837403,康农种业,12.06,12.06,12.06,12.06,32754.0
2022-06-10,837403,康农种业,12.29,12.29,12.29,12.29,3276.0
2022-07-19,837403,康农种业,14.22,14.22,14.22,14.22,3776.0
2022-08-23,837403,康农种业,12.38,14.3,14.3,12.38,191665.5
2022-08-24,837403,康农种业,12.42,12.42,12.42,12.42,165500.0
2022-08-29,837403,康农种业,12.0,12.0,12.0,12.0,160000.0
2022-08-31,837403,康农种业,14.3,14.3,14.3,14.3,1899.0
2022-09-08,837403,康农种业,18.66,18.66,18.66,18.66,2466.0
2022-11-24,837403,康农种业,9.71,9.71,9.71,9.71,2604.0
2022-12-01,837403,康农种业,15.96,15.96,15.96,15.96,2115.0
2023-03-15,837403,康农种业,11.23,11.23,11.23,11.23,15000.0
2023-04-03,837403,康农种业,13.45,13.45,13.45,13.45,53640.0
2023-04-04,837403,康农种业,13.42,13.42,13.42,13.42,89200.0
2023-04-06,837403,康农种业,13.46,13.44,13.46,13.44,316539.5
2023-04-07,837403,康农种业,13.46,13.45,13.46,13.45,89767.6
2023-04-17,837403,康农种业,9.7,13.57,13.57,9.7,534001.99
2023-04-18,837403,康农种业,10.62,11.09,12.15,10.62,104973.2
2023-04-19,837403,康农种业,11.08,11.08,11.08,11.08,7400.0
2023-04-20,837403,康农种业,11.0,12.19,12.19,11.0,115600.0
2023-04-21,837403,康农种业,13.14,13.35,13.35,12.76,52220.0
2023-04-24,837403,康农种业,10.08,12.15,12.15,10.08,17550.0
2023-04-25,837403,康农种业,10.69,11.08,12.0,10.69,4450.0
2024-01-18,837403,康农种业,14.94,13.67,15.84,13.61,258424895.04
2024-01-19,837403,康农种业,13.05,12.76,13.48,12.57,146952288.79
2024-01-22,837403,康农种业,12.75,11.75,12.75,11.64,87044329.38
2024-01-23,837403,康农种业,11.68,11.65,11.99,11.52,54460961.23
2024-01-24,837403,康农种业,11.74,11.5,11.83,11.02,56766928.89
2024-01-25,837403,康农种业,11.51,11.25,11.53,11.0,52981969.93
2024-01-26,837403,康农种业,11.13,11.62,11.8,11.08,66396369.18
2024-01-29,837403,康农种业,11.51,11.44,12.0,11.08,68645649.28
2024-01-30,837403,康农种业,11.36,11.72,12.28,11.15,89921644.0
2024-01-31,837403,康农种业,11.42,11.18,11.62,11.08,70149406.43
2024-02-01,837403,康农种业,11.01,10.01,11.34,9.93,55212174.01
2024-02-02,837403,康农种业,10.07,8.87,10.15,8.63,45216122.91
2024-02-05,837403,康农种业,9.15,9.37,10.79,8.88,91381257.22
2024-02-06,837403,康农种业,8.69,9.99,10.06,8.28,74103076.53
2024-02-07,837403,康农种业,9.85,9.22,10.58,8.91,64558666.95
2024-02-08,837403,康农种业,9.28,9.17,9.28,8.54,40820539.79
2024-02-19,837403,康农种业,9.33,9.33,9.35,9.08,31034915.26
2024-02-20,837403,康农种业,9.35,9.71,9.74,9.28,40001816.75
2024-02-21,837403,康农种业,9.52,9.69,10.02,9.45,41584520.64
2024-02-22,837403,康农种业,9.62,9.88,10.22,9.62,46717801.75
2024-02-23,837403,康农种业,9.77,9.63,9.87,9.42,36807076.38
2024-02-26,837403,康农种业,9.58,9.85,9.91,9.45,35952177.17
2024-02-27,837403,康农种业,9.8,10.47,10.65,9.71,62085302.6
2024-02-28,837403,康农种业,10.45,10.95,11.08,10.11,99830282.88
2024-02-29,837403,康农种业,10.9,11.39,11.77,10.62,106071098.39
2024-03-01,837403,康农种业,11.18,11.08,11.35,11.05,62929822.07
2024-03-04,837403,康农种业,11.05,10.74,11.15,10.6,48950448.27
2024-03-05,837403,康农种业,10.65,10.35,10.74,10.16,35557719.69
2024-03-06,837403,康农种业,10.25,10.6,10.77,10.23,33419790.75
2024-03-07,837403,康农种业,10.5,10.25,10.74,10.22,26568655.67
2024-03-08,837403,康农种业,10.18,10.28,10.44,10.14,15830575.81
2024-03-11,837403,康农种业,10.25,10.35,10.45,10.14,20670263.59
2024-03-12,837403,康农种业,10.38,10.58,10.6,10.23,27594949.68
2024-03-13,837403,康农种业,10.92,10.47,11.25,10.47,44853974.5
2024-03-14,837403,康农种业,10.38,9.96,10.46,9.94,29703146.53
2024-03-15,837403,康农种业,9.99,10.24,10.42,9.94,27053750.64
2024-03-18,837403,康农种业,10.27,10.23,10.35,10.09,21758916.66
2024-03-19,837403,康农种业,10.24,10.23,10.38,10.16,15582671.47
2024-03-20,837403,康农种业,10.34,10.58,10.76,10.27,35112240.14
2024-03-21,837403,康农种业,10.49,10.38,10.58,10.32,23137965.04
2024-03-22,837403,康农种业,10.34,10.05,10.46,9.99,25767349.06
2024-03-25,837403,康农种业,10.08,9.74,10.11,9.7,13919107.52
2024-03-26,837403,康农种业,9.77,9.71,9.91,9.57,12238799.39
2024-03-27,837403,康农种业,9.78,9.96,10.12,9.77,20481259.36
2024-03-28,837403,康农种业,9.88,9.98,10.08,9.78,13239657.23
2024-03-29,837403,康农种业,9.98,9.98,10.08,9.92,13723787.31
2024-04-01,837403,康农种业,10.25,10.02,10.39,9.98,20896534.37
2024-04-02,837403,康农种业,10.05,9.84,10.05,9.77,16892437.1
2024-04-03,837403,康农种业,9.85,9.89,9.92,9.74,10038348.88
2024-04-08,837403,康农种业,9.85,9.58,9.92,9.58,10487299.56
2024-04-09,837403,康农种业,9.69,9.76,9.81,9.58,8836330.1
2024-04-10,837403,康农种业,9.78,9.91,10.08,9.69,22120144.92
2024-04-11,837403,康农种业,9.85,10.05,10.05,9.77,16778506.0
2024-04-12,837403,康农种业,10.03,10.19,10.36,10.03,20945982.59
2024-04-15,837403,康农种业,10.16,10.02,10.23,9.96,13508771.79
2024-04-16,837403,康农种业,10.01,9.51,10.12,9.51,17390255.48
2024-04-17,837403,康农种业,9.57,9.9,9.98,9.57,20350622.99
2024-04-18,837403,康农种业,9.91,9.89,10.05,9.73,13096763.51
2024-04-19,837403,康农种业,9.86,10.48,10.76,9.75,50103201.56
2024-04-22,837403,康农种业,10.28,10.33,10.38,10.08,27412296.44
2024-04-23,837403,康农种业,10.35,10.4,10.56,10.28,16254168.23
2024-04-24,837403,康农种业,10.35,10.26,10.41,10.15,14723150.49
2024-04-25,837403,康农种业,10.26,10.18,10.26,10.14,11562216.91
2024-04-26,837403,康农种业,10.13,10.28,10.32,10.13,12132314.85
2024-04-29,837403,康农种业,10.24,10.48,10.53,10.19,23507931.83
2024-04-30,837403,康农种业,10.42,10.45,10.58,10.35,14767734.05
2024-05-06,837403,康农种业,10.45,10.81,10.99,10.45,25202741.03
2024-05-07,837403,康农种业,10.74,10.63,10.88,10.54,17530649.9
2024-05-08,837403,康农种业,10.58,10.92,10.92,10.44,17334107.67
2024-05-09,837403,康农种业,10.82,10.86,11.02,10.74,24342806.95
2024-05-10,837403,康农种业,10.76,10.56,10.98,10.53,21285444.43
2024-05-13,837403,康农种业,10.5,10.26,10.5,10.22,14369017.7
2024-05-14,837403,康农种业,10.23,10.26,10.35,10.19,8594117.8
2024-05-15,837403,康农种业,10.29,10.08,10.32,10.05,9286233.34
2024-05-16,837403,康农种业,10.05,9.97,10.16,9.95,6809765.82
2024-05-17,837403,康农种业,9.97,9.98,10.02,9.89,6276364.02
2024-05-20,837403,康农种业,9.99,10.03,10.08,9.91,4691968.79
2024-05-21,837403,康农种业,10.05,9.82,10.05,9.78,5538456.34
2024-05-22,837403,康农种业,9.9,10.0,10.02,9.82,6237822.51
2024-05-23,837403,康农种业,10.0,10.32,10.52,9.87,20247566.05
2024-05-24,837403,康农种业,10.49,10.35,10.93,10.35,31679392.5
2024-05-27,837403,康农种业,10.16,10.04,10.28,9.93,16562581.53
2024-05-28,837403,康农种业,10.09,9.97,10.19,9.95,7108531.9
2024-05-29,837403,康农种业,9.94,9.91,10.03,9.86,6551460.36
2024-05-30,837403,康农种业,9.87,9.75,9.97,9.72,6345876.02
2024-05-31,837403,康农种业,9.76,9.76,9.83,9.72,3796142.81
2024-06-03,837403,康农种业,9.75,9.85,9.9,9.7,5581396.69
