date,code,name,open,close,high,low,volume
2021-12-28,301099,雅创电子,70.1,74.71,77.96,68.41,446725968.0
2021-12-29,301099,雅创电子,73.17,73.08,77.79,71.64,325162848.0
2021-12-30,301099,雅创电子,72.57,71.48,75.09,70.84,226287203.0
2021-12-31,301099,雅创电子,70.88,70.37,72.55,69.72,175448212.0
2022-01-04,301099,雅创电子,70.13,69.33,76.7,68.98,325534720.0
2022-01-05,301099,雅创电子,66.73,68.61,69.16,63.95,238826487.0
2022-01-06,301099,雅创电子,67.51,70.63,71.86,67.1,183298017.0
2022-01-07,301099,雅创电子,69.33,69.38,72.58,68.57,212217674.0
2022-01-10,301099,雅创电子,68.33,69.92,71.78,66.79,185169098.0
2022-01-11,301099,雅创电子,69.38,63.1,70.08,62.39,266264226.0
2022-01-12,301099,雅创电子,63.41,62.48,63.74,61.11,135085526.0
2022-01-13,301099,雅创电子,62.32,60.95,63.66,60.87,96474768.0
2022-01-14,301099,雅创电子,60.62,60.97,62.32,60.49,88006071.0
2022-01-17,301099,雅创电子,60.1,60.83,61.81,58.37,82127420.0
2022-01-18,301099,雅创电子,60.45,61.8,62.56,59.33,139200562.0
2022-01-19,301099,雅创电子,61.39,56.14,61.6,55.76,153245849.0
2022-01-20,301099,雅创电子,54.94,52.8,55.48,51.64,140684460.0
2022-01-21,301099,雅创电子,52.37,50.26,52.37,49.91,86936648.0
2022-01-24,301099,雅创电子,52.18,58.92,60.39,52.18,212493744.0
2022-01-25,301099,雅创电子,58.91,54.96,59.23,54.72,137045950.0
2022-01-26,301099,雅创电子,54.8,54.78,56.6,54.1,76258525.0
2022-01-27,301099,雅创电子,53.7,51.95,54.39,51.68,69796105.0
2022-01-28,301099,雅创电子,52.41,52.48,53.62,52.06,58388514.0
2022-02-07,301099,雅创电子,53.82,53.25,54.33,52.03,50645621.0
2022-02-08,301099,雅创电子,53.95,52.0,53.95,50.52,60776069.0
2022-02-09,301099,雅创电子,52.0,52.24,52.39,51.09,52511550.0
2022-02-10,301099,雅创电子,51.92,50.61,52.62,50.32,48626683.0
2022-02-11,301099,雅创电子,49.67,47.55,50.08,47.25,63845046.0
2022-02-14,301099,雅创电子,47.48,47.95,48.33,45.89,38362077.0
2022-02-15,301099,雅创电子,47.98,48.7,48.85,47.57,43977242.0
2022-02-16,301099,雅创电子,48.87,52.03,56.02,48.87,167018881.0
2022-02-17,301099,雅创电子,51.01,56.27,56.52,51.01,173332586.0
2022-02-18,301099,雅创电子,55.15,55.18,57.41,54.76,104286062.0
2022-02-21,301099,雅创电子,54.73,54.1,55.48,53.26,98300935.0
2022-02-22,301099,雅创电子,53.48,55.4,55.64,52.33,109242828.0
2022-02-23,301099,雅创电子,54.72,59.43,62.72,54.72,224910830.0
2022-02-24,301099,雅创电子,59.53,60.48,61.33,57.76,152721634.0
2022-02-25,301099,雅创电子,61.33,57.74,61.92,57.12,135274848.0
2022-02-28,301099,雅创电子,58.39,57.45,58.56,56.48,68990878.0
2022-03-01,301099,雅创电子,57.18,58.18,58.4,56.64,64254335.0
2022-03-02,301099,雅创电子,57.45,56.85,57.69,55.52,103148119.0
2022-03-03,301099,雅创电子,56.64,55.42,57.14,55.24,58049112.0
2022-03-04,301099,雅创电子,55.43,54.6,56.87,54.25,74133007.0
2022-03-07,301099,雅创电子,54.88,52.73,54.88,52.58,48165423.0
2022-03-08,301099,雅创电子,53.23,51.63,53.87,50.62,59784371.0
2022-03-09,301099,雅创电子,51.72,50.31,52.79,48.22,75972434.0
2022-03-10,301099,雅创电子,52.47,50.99,53.64,50.55,95502020.0
2022-03-11,301099,雅创电子,49.95,50.87,51.06,49.17,59412613.0
2022-03-14,301099,雅创电子,50.86,47.87,50.86,47.87,61897653.0
2022-03-15,301099,雅创电子,47.41,46.25,48.95,46.25,65406119.0
2022-03-16,301099,雅创电子,47.18,46.63,47.75,43.95,98541212.0
2022-03-17,301099,雅创电子,47.23,50.62,51.33,47.23,166362496.0
2022-03-18,301099,雅创电子,49.82,49.5,50.45,48.56,98967648.0
2022-03-21,301099,雅创电子,49.43,50.28,50.35,48.72,72545270.0
2022-03-22,301099,雅创电子,50.09,48.15,50.1,47.72,68540172.0
2022-03-23,301099,雅创电子,48.42,48.45,48.93,47.42,42673535.0
2022-03-24,301099,雅创电子,48.56,47.42,48.56,47.08,35304316.0
2022-03-25,301099,雅创电子,47.94,46.85,49.18,46.1,55533641.0
2022-03-28,301099,雅创电子,46.71,44.75,46.71,44.41,50231396.0
2022-03-29,301099,雅创电子,44.72,45.4,45.48,42.06,89151967.0
