date,code,name,open,close,high,low,volume
2021-12-28,600540,新赛股份,6.68,6.99,7.5,6.4,764409968.0
2021-12-29,600540,新赛股份,6.62,6.29,6.78,6.29,443686720.0
2021-12-30,600540,新赛股份,6.07,6.13,6.16,5.95,370057648.0
2021-12-31,600540,新赛股份,6.09,6.01,6.13,6.0,246514260.0
2022-01-04,600540,新赛股份,6.01,6.15,6.28,5.95,296819584.0
2022-01-05,600540,新赛股份,6.14,6.1,6.25,6.03,211909546.0
2022-01-06,600540,新赛股份,6.06,6.16,6.22,5.97,212910687.0
2022-01-07,600540,新赛股份,6.11,6.0,6.14,5.97,178536502.0
2022-01-10,600540,新赛股份,5.98,6.03,6.08,5.9,112290823.0
2022-01-11,600540,新赛股份,6.0,5.97,6.07,5.95,108894321.0
2022-01-12,600540,新赛股份,5.97,6.09,6.09,5.94,130166652.0
2022-01-13,600540,新赛股份,6.07,6.06,6.15,6.03,115134066.0
2022-01-14,600540,新赛股份,6.05,5.88,6.13,5.86,147029090.0
2022-01-17,600540,新赛股份,5.9,5.98,6.03,5.89,95566344.0
2022-01-18,600540,新赛股份,5.93,5.76,5.96,5.72,127354351.0
2022-01-19,600540,新赛股份,5.8,5.83,5.84,5.73,92250407.0
2022-01-20,600540,新赛股份,5.86,5.91,6.15,5.84,155320522.0
2022-01-21,600540,新赛股份,5.82,5.58,5.83,5.54,119020269.0
2022-01-24,600540,新赛股份,5.55,5.61,5.65,5.53,49527209.0
2022-01-25,600540,新赛股份,5.59,5.31,5.61,5.31,74388903.0
2022-01-26,600540,新赛股份,5.31,5.36,5.43,5.29,41317768.0
2022-01-27,600540,新赛股份,5.38,5.23,5.39,5.2,57862465.0
2022-01-28,600540,新赛股份,5.24,5.47,5.53,5.24,78406173.0
2022-02-07,600540,新赛股份,5.31,5.4,5.46,5.29,78118134.0
2022-02-08,600540,新赛股份,5.38,5.51,5.54,5.37,60226600.0
2022-02-09,600540,新赛股份,5.52,5.65,5.65,5.5,62010193.0
2022-02-10,600540,新赛股份,5.67,5.72,5.74,5.59,70713562.0
2022-02-11,600540,新赛股份,5.68,5.55,5.7,5.51,61455368.0
2022-02-14,600540,新赛股份,5.55,5.93,6.11,5.52,311547200.0
2022-02-15,600540,新赛股份,5.8,5.71,5.84,5.6,203468030.0
2022-02-16,600540,新赛股份,5.7,5.71,5.72,5.63,95883469.0
2022-02-17,600540,新赛股份,5.67,5.58,5.71,5.56,89322665.0
2022-02-18,600540,新赛股份,5.53,5.63,5.64,5.52,56671777.0
2022-02-21,600540,新赛股份,5.62,5.86,5.86,5.59,125534699.0
2022-02-22,600540,新赛股份,5.83,5.78,5.9,5.71,90727257.0
2022-02-23,600540,新赛股份,5.92,5.72,6.05,5.71,134495571.0
2022-02-24,600540,新赛股份,5.7,5.85,5.88,5.58,186029916.0
2022-02-25,600540,新赛股份,5.75,5.85,5.92,5.73,130215234.0
2022-02-28,600540,新赛股份,5.84,5.79,5.96,5.79,96133453.0
2022-03-01,600540,新赛股份,5.79,5.87,5.88,5.75,80513619.0
2022-03-02,600540,新赛股份,5.86,5.98,6.05,5.86,173957933.0
2022-03-03,600540,新赛股份,5.98,6.08,6.08,5.95,163240057.0
2022-03-04,600540,新赛股份,6.01,5.92,6.03,5.87,133309012.0
2022-03-07,600540,新赛股份,5.95,5.93,6.05,5.88,127075856.0
2022-03-08,600540,新赛股份,5.91,5.57,5.92,5.56,103136572.0
2022-03-09,600540,新赛股份,5.57,5.68,5.81,5.36,129613493.0
2022-03-10,600540,新赛股份,5.73,5.67,5.79,5.63,86056665.0
2022-03-11,600540,新赛股份,5.59,5.88,5.89,5.48,134049678.0
2022-03-14,600540,新赛股份,5.88,5.59,5.91,5.57,99712204.0
2022-03-15,600540,新赛股份,5.52,5.05,5.59,5.03,136675009.0
2022-03-16,600540,新赛股份,5.08,5.14,5.17,4.88,83060521.0
2022-03-17,600540,新赛股份,5.15,5.26,5.44,5.14,89473118.0
2022-03-18,600540,新赛股份,5.29,5.47,5.5,5.25,87056271.0
2022-03-21,600540,新赛股份,5.56,5.84,5.95,5.45,191657029.0
2022-03-22,600540,新赛股份,5.72,5.79,5.9,5.7,106332795.0
2022-03-23,600540,新赛股份,5.81,5.73,5.85,5.7,70098475.0
2022-03-24,600540,新赛股份,5.82,5.76,5.93,5.71,109555953.0
2022-03-25,600540,新赛股份,5.72,5.93,6.23,5.71,216066245.0
2022-03-28,600540,新赛股份,5.95,6.03,6.11,5.87,165887714.0
2022-03-29,600540,新赛股份,5.97,6.15,6.23,5.91,217123869.0
2022-03-30,600540,新赛股份,6.02,6.04,6.1,5.95,149883647.0
2022-03-31,600540,新赛股份,6.06,6.07,6.19,5.99,150554317.0
2022-04-01,600540,新赛股份,6.25,6.01,6.56,5.95,301902048.0
2022-04-06,600540,新赛股份,5.71,5.92,6.04,5.55,225608062.0
2022-04-07,600540,新赛股份,5.93,5.77,6.06,5.75,129736167.0
2022-04-08,600540,新赛股份,5.8,5.57,5.86,5.54,92232807.0
2022-04-11,600540,新赛股份,5.54,6.03,6.13,5.53,382248672.0
2022-04-12,600540,新赛股份,5.88,6.09,6.09,5.77,306969008.0
2022-04-13,600540,新赛股份,6.01,6.12,6.33,5.99,328265232.0
2022-04-14,600540,新赛股份,6.05,6.37,6.47,6.01,359152784.0
2022-04-15,600540,新赛股份,6.22,6.09,6.32,6.03,258422067.0
2022-04-18,600540,新赛股份,6.01,6.14,6.28,5.99,209595383.0
2022-04-19,600540,新赛股份,6.13,6.37,6.38,6.02,301320736.0
2022-04-20,600540,新赛股份,6.24,6.36,6.65,6.23,408088208.0
2022-04-21,600540,新赛股份,6.28,5.95,6.52,5.88,316443408.0
2022-04-22,600540,新赛股份,5.88,5.54,5.98,5.4,210118948.0
2022-04-25,600540,新赛股份,5.48,4.99,5.49,4.99,125321748.0
2022-04-26,600540,新赛股份,4.86,4.49,4.95,4.49,121507353.0
2022-04-27,600540,新赛股份,4.31,4.46,4.49,4.12,100746684.0
2022-04-28,600540,新赛股份,4.4,4.28,4.49,4.18,84469999.0
2022-04-29,600540,新赛股份,4.31,4.46,4.51,4.31,77398453.0
2022-05-05,600540,新赛股份,4.47,4.62,4.73,4.39,84078418.0
2022-05-06,600540,新赛股份,4.48,4.45,4.58,4.42,66909649.0
2022-05-09,600540,新赛股份,4.41,4.5,4.56,4.4,57280602.0
2022-05-10,600540,新赛股份,4.42,4.95,4.95,4.34,148762036.0
2022-05-11,600540,新赛股份,4.9,4.82,5.09,4.81,225929334.0
2022-05-12,600540,新赛股份,4.72,4.72,4.85,4.65,101036617.0
2022-05-13,600540,新赛股份,4.77,4.78,4.87,4.65,101706113.0
2022-05-16,600540,新赛股份,4.85,4.94,5.1,4.81,177083825.0
2022-05-17,600540,新赛股份,4.86,4.86,4.94,4.76,109314066.0
2022-05-18,600540,新赛股份,4.79,4.95,5.04,4.79,124532831.0
2022-05-19,600540,新赛股份,4.85,5.09,5.22,4.83,151757566.0
2022-05-20,600540,新赛股份,5.02,5.14,5.18,5.01,114348487.0
2022-05-23,600540,新赛股份,5.09,5.25,5.34,5.07,133051995.0
2022-05-24,600540,新赛股份,5.23,5.07,5.68,5.07,177724565.0
2022-05-25,600540,新赛股份,5.17,5.3,5.44,4.99,167890000.0
2022-05-26,600540,新赛股份,5.25,5.21,5.38,5.14,112933174.0
2022-05-27,600540,新赛股份,5.19,5.17,5.25,5.09,78159870.0
2022-05-30,600540,新赛股份,5.2,5.23,5.36,5.18,85915658.0
2022-05-31,600540,新赛股份,5.15,5.41,5.51,5.13,158546988.0
2022-06-01,600540,新赛股份,5.35,5.34,5.45,5.29,90732301.0
2022-06-02,600540,新赛股份,5.32,5.87,5.87,5.28,226964752.0
2022-06-06,600540,新赛股份,5.91,5.72,5.91,5.56,267282288.0
2022-06-07,600540,新赛股份,5.62,5.51,5.67,5.42,169189836.0
2022-06-08,600540,新赛股份,5.52,5.38,5.53,5.29,127894403.0
2022-06-09,600540,新赛股份,5.39,5.28,5.48,5.21,117481710.0
2022-06-10,600540,新赛股份,5.19,5.3,5.4,5.11,107496394.0
