date,code,name,open,close,high,low,volume
2021-12-28,688050,爱博医疗,118.29,117.35,120.35,116.48,185287228.0
2021-12-29,688050,爱博医疗,117.35,117.59,120.07,117.24,206634666.0
2021-12-30,688050,爱博医疗,117.59,117.02,119.17,116.53,156821355.0
2021-12-31,688050,爱博医疗,117.06,116.03,118.13,114.91,175107267.0
2022-01-04,688050,爱博医疗,115.35,113.57,115.74,110.35,281306000.0
2022-01-05,688050,爱博医疗,113.37,113.57,113.78,110.63,162028068.0
2022-01-06,688050,爱博医疗,112.57,114.81,116.46,111.46,203966443.0
2022-01-07,688050,爱博医疗,114.17,108.57,114.34,107.56,274607328.0
2022-01-10,688050,爱博医疗,108.1,112.74,113.62,105.35,210383260.0
2022-01-11,688050,爱博医疗,112.13,110.52,113.41,109.79,160972150.0
2022-01-12,688050,爱博医疗,111.95,112.18,115.78,110.66,163415096.0
2022-01-13,688050,爱博医疗,112.19,110.93,113.06,109.91,102379414.0
2022-01-14,688050,爱博医疗,110.49,112.04,112.35,109.24,114855726.0
2022-01-17,688050,爱博医疗,111.49,110.86,114.75,108.52,141498356.0
2022-01-18,688050,爱博医疗,110.13,108.35,112.49,107.58,119011577.0
2022-01-19,688050,爱博医疗,108.35,105.36,108.35,104.17,172862789.0
2022-01-20,688050,爱博医疗,103.24,102.35,105.62,102.2,166404105.0
2022-01-21,688050,爱博医疗,102.93,99.11,103.13,98.17,298314032.0
2022-01-24,688050,爱博医疗,98.85,101.02,101.73,96.9,202946650.0
2022-01-25,688050,爱博医疗,98.06,94.99,99.24,94.12,472653472.0
2022-01-26,688050,爱博医疗,95.91,94.56,97.76,92.79,234081475.0
2022-01-27,688050,爱博医疗,94.34,92.79,95.79,91.63,181079407.0
2022-01-28,688050,爱博医疗,93.13,91.18,94.23,90.71,127102569.0
2022-02-07,688050,爱博医疗,93.08,91.46,93.56,89.63,174999992.0
2022-02-08,688050,爱博医疗,91.47,89.24,92.02,88.23,147846766.0
2022-02-09,688050,爱博医疗,89.61,90.31,90.43,88.24,128231051.0
2022-02-10,688050,爱博医疗,90.17,88.36,90.17,87.04,134167294.0
2022-02-11,688050,爱博医疗,88.13,85.03,88.41,84.42,117156981.0
2022-02-14,688050,爱博医疗,84.6,84.79,86.46,83.21,91624454.0
2022-02-15,688050,爱博医疗,85.99,92.21,94.05,84.83,202418113.0
2022-02-16,688050,爱博医疗,92.21,90.39,92.21,89.79,110594729.0
2022-02-17,688050,爱博医疗,90.9,89.89,92.01,89.79,71004051.0
2022-02-18,688050,爱博医疗,89.79,88.47,90.9,87.85,91041569.0
2022-02-21,688050,爱博医疗,88.23,87.56,91.65,87.06,107012853.0
2022-02-22,688050,爱博医疗,87.47,86.63,87.47,83.55,110984715.0
2022-02-23,688050,爱博医疗,86.44,90.79,92.43,86.44,114734601.0
2022-02-24,688050,爱博医疗,90.68,88.18,93.06,87.12,138113937.0
2022-02-25,688050,爱博医疗,89.91,91.22,94.46,89.88,160518341.0
2022-02-28,688050,爱博医疗,90.35,92.61,93.07,89.02,129954377.0
2022-03-01,688050,爱博医疗,91.77,92.18,93.45,90.85,87098376.0
2022-03-02,688050,爱博医疗,91.74,90.55,91.74,89.79,77437728.0
2022-03-03,688050,爱博医疗,90.84,88.7,91.17,88.24,62854005.0
2022-03-04,688050,爱博医疗,88.39,89.39,92.45,87.78,106889810.0
2022-03-07,688050,爱博医疗,88.69,86.83,89.23,84.79,117220066.0
2022-03-08,688050,爱博医疗,86.28,82.56,87.58,82.16,123335627.0
2022-03-09,688050,爱博医疗,82.62,80.41,83.12,77.51,199600859.0
2022-03-10,688050,爱博医疗,82.58,83.62,85.24,82.25,101708752.0
2022-03-11,688050,爱博医疗,82.57,86.46,86.62,81.63,108296854.0
2022-03-14,688050,爱博医疗,85.07,83.13,86.73,82.86,95419970.0
2022-03-15,688050,爱博医疗,81.99,76.84,82.46,76.39,168309341.0
2022-03-16,688050,爱博医疗,78.13,75.71,79.12,71.32,229899797.0
2022-03-17,688050,爱博医疗,77.02,81.46,82.57,77.01,190933017.0
2022-03-18,688050,爱博医疗,81.34,79.24,81.46,77.96,84564608.0
2022-03-21,688050,爱博医疗,79.63,79.89,80.62,78.68,65777275.0
